ISSCAAP_Group_Code,Name
1,Freshwater fishes
2,Diadromous fishes
3,Marine fishes
4,Crustaceans
5,Molluscs
6,"Whales, seals and other aquatic mammals"
7,Miscellaneous aquatic animals
8,Miscellaneous aquatic animal products
9,Aquatic plants
11,"Carps, barbels and other cyprinids"
12,Tilapias and other cichlids
13,Miscellaneous freshwater fishes
21,"Sturgeons, paddlefishes"
22,River eels
23,"Salmons, trouts, smelts"
24,Shads
25,Miscellaneous diadromous fishes
31,"Flounders, halibuts, soles"
32,"Cods, hakes, haddocks"
33,Miscellaneous coastal fishes
34,Miscellaneous demersal fishes
35,"Herrings, sardines, anchovies"
36,"Tunas, bonitos, billfishes"
37,Miscellaneous pelagic fishes
38,"Sharks, rays, chimaeras"
39,Marine fishes not identified
41,Freshwater crustaceans
42,"Crabs, sea-spiders"
43,"Lobsters, spiny-rock lobsters"
44,"King crabs, squat-lobsters"
45,"Shrimps, prawns"
46,"Krill, planktonic crustaceans"
47,Miscellaneous marine crustaceans
51,Freshwater molluscs
52,"Abalones, winkles, conchs"
53,Oysters
54,Mussels
55,"Scallops, pectens"
56,"Clams, cockles, arkshells"
57,"Squids, cuttlefishes, octopuses"
58,Miscellaneous marine molluscs
61,"Blue-whales, fin-whales"
62,"Sperm-whales, pilot-whales"
63,"Eared seals, hair seals, walruses"
64,Miscellaneous aquatic mammals
71,Frogs and other amphibians
72,Turtles
73,Crocodiles and alligators
74,Sea-squirts and other tunicates
75,Horseshoe crabs and other arachnoids
76,Sea-urchins and other echinoderms
77,Miscellaneous aquatic invertebrates
81,"Pearls, mother-of-pearl, shells"
82,Corals
83,Sponges
91,Brown seaweeds
92,Red seaweeds
93,Green seaweeds
94,Miscellaneous aquatic plants
